#date,category,value
19/06/2020,Food & Drinks,-11.32
15/06/2020,Internet,-24.95
13/06/2020,Friends & Family,10
12/06/2020,Food & Drinks,-36.03
10/06/2020,Electricity,-96
10/06/2020,Food & Drinks,-13.43
09/06/2020,Entertainment,-34.99
08/06/2020,Friends & Family,35
06/06/2020,Entertainment,-12
06/06/2020,Food & Drinks,-2
05/06/2020,Food & Drinks,-16.54
05/06/2020,Work,133
04/06/2020,Food & Drinks,-37.65
02/06/2020,Appartment,-40
02/06/2020,Friends & Family,24.78
02/06/2020,Toys & Electronics,-204.81
01/06/2020,Friends & Family,350
29/05/2020,Appartment,-267.68
28/05/2020,Food & Drinks,-6.9
25/05/2020,Work,2263.45
23/05/2020,Food & Drinks,-5.2
23/05/2020,Friends & Family,10
22/05/2020,Food & Drinks,-3.27
21/05/2020,Friends & Family,13.7
20/05/2020,Food & Drinks,-7.31
20/05/2020,Food & Drinks,-3.15
20/05/2020,Food & Drinks,-7
15/05/2020,Food & Drinks,-46.75
13/05/2020,Internet,-24.95
12/05/2020,Food & Drinks,-49.02
11/05/2020,Electricity,-96
08/05/2020,Toys & Electronics,9.7
08/05/2020,Food & Drinks,-51.68
08/05/2020,Entertainment,-12
08/05/2020,Food & Drinks,-4
07/05/2020,Work,175
07/05/2020,Food & Drinks,-28.11
04/05/2020,Appartment,-40
04/05/2020,Friends & Family,24.78
04/05/2020,Food & Drinks,-17.04
04/05/2020,Garbage & Recycling,-79.49
03/05/2020,Friends & Family,6.75
01/05/2020,Friends & Family,350
30/04/2020,Appartment,-269.21
30/04/2020,Food & Drinks,-5
30/04/2020,Food & Drinks,-41.95
28/04/2020,Food & Drinks,-24.11
27/04/2020,Appartment,-20.7
27/04/2020,Work,2268.50
26/04/2020,Medical & Insurances,-8.98
25/04/2020,Friends & Family,27.68
24/04/2020,Food & Drinks,-56
24/04/2020,Food & Drinks,-3.1
21/04/2020,Food & Drinks,-44.23
18/04/2020,Food & Drinks,-6.42
17/04/2020,Food & Drinks,-24.42
15/04/2020,Food & Drinks,-29.8
15/04/2020,Internet,-24.95
14/04/2020,Electricity,-96
11/04/2020,Food & Drinks,-49.32
09/04/2020,Food & Drinks,-19.42
08/04/2020,Food & Drinks,-5.7
07/04/2020,Food & Drinks,-13.5
06/04/2020,Work,325.46
06/04/2020,Food & Drinks,-21.9
06/04/2020,Entertainment,-6.8
06/04/2020,Work,112
03/04/2020,Entertainment,-7
03/04/2020,Food & Drinks,-25.82
03/04/2020,Food & Drinks,-24.30
03/04/2020,Water,-78.66
01/04/2020,Friends & Family,350
01/04/2020,Friends & Family,24.78
01/04/2020,Appartment,-40
01/04/2020,Food & Drinks,-28.14
31/03/2020,Entertainment,-7
31/03/2020,Work,3362.35
31/03/2020,Appartment,-270.75
30/03/2020,Food & Drinks,-30.4
28/03/2020,Food & Drinks,-6
26/03/2020,Entertainment,-6.8
26/03/2020,Food & Drinks,-22.94
23/03/2020,Food & Drinks,-28.57
23/03/2020,Entertainment,-6.8
23/03/2020,Taxes,-53
20/03/2020,Food & Drinks,-24.60
20/03/2020,Entertainment,-6.7
20/03/2020,Food & Drinks,-2.45
20/03/2020,Entertainment,10
19/03/2020,Food & Drinks,-25.42
17/03/2020,Food & Drinks,-29.57
17/03/2020,Entertainment,-6.8
16/03/2020,Food & Drinks,-5.25
14/03/2020,Entertainment,-6.8
14/03/2020,Food & Drinks,-0.9
13/03/2020,Food & Drinks,-32.55
13/03/2020,Food & Drinks,-28
13/03/2020,Internet,-24.95
12/03/2020,Electricity,-96
12/03/2020,Food & Drinks,-15.55
11/03/2020,Food & Drinks,-9.35
10/03/2020,Entertainment,-6.8
10/03/2020,Food & Drinks,-17.6
09/03/2020,Food & Drinks,-3.75
09/03/2020,Entertainment,-22
08/03/2020,Food & Drinks,-3.9
07/03/2020,Food & Drinks,-3.1
07/03/2020,Entertainment,-6.8
07/03/2020,Food & Drinks,-8
07/03/2020,Friends & Family,50
06/03/2020,Food & Drinks,-13.8
05/03/2020,Medical & Insurances,-13.36
05/03/2020,Friends & Family,-44.72
05/03/2020,Work,119
